council,meeting_date,start_time,venue,webcast_url,source_url
Monash City Council,2025-09-30,19:00,"Monash Civic Centre, 293 Springvale Rd, Glen Waverley",https://www.monash.vic.gov.au/About-Us/Council/Council-Meetings/Council-Meetings-Schedule,https://www.monash.vic.gov.au/About-Us/Council/Council-Meetings/Council-Meetings-Schedule
City of Melbourne,2025-09-30,17:30,"Melbourne Town Hall, Administration Building",https://www.melbourne.vic.gov.au/council-meetings,https://www.melbourne.vic.gov.au/council-meetings
Frankston City Council,2025-09-15,19:00,"Civic Centre, 30 Davey Street, Frankston",https://www.frankston.vic.gov.au/Council/Council-and-committee-meetings/Upcoming-Council-Meeting-Agendas-2025,https://www.frankston.vic.gov.au/Council/Council-and-committee-meetings/Upcoming-Council-Meeting-Agendas-2025
City of Greater Geelong,2025-09-23,18:00,"City Hall, 30 Gheringhap Street, Geelong",https://www.geelongaustralia.com.au/meetings/,https://www.geelongaustralia.com.au/meetings/
Borough of Queenscliffe,2025-09-18,19:00,"Queenscliff Town Hall, 50 Learmonth Street, Queenscliff",https://www.queenscliffe.vic.gov.au/council/meetings/council-meetings,https://www.queenscliffe.vic.gov.au/council/meetings/council-meetings
City of Ballarat,2025-09-24,18:30,"Ballarat Town Hall, 225 Sturt Street, Ballarat",https://www.ballarat.vic.gov.au/city-and-council/council-meetings,https://www.ballarat.vic.gov.au/city-and-council/council-meetings
